"asn","name","description","country_code","traffic_estimation","traffic_ratio","rir_country_code","rir_date_allocated"
"6364","ATLANTIC-NET-1","Atlantic.net, Inc.","US","50-100Gbps","Balanced","US",1996-03-20
"13188","TRIOLAN","CONTENT DELIVERY NETWORK LTD","UA","500-1000Gbps","Mostly Inbound","UA",2000-04-27
"20412","CLARITY-TELECOM","Clarity Telecom LLC","US","500-1000Gbps","Heavy Inbound","US",2001-05-04
"14080","Telmex Colombia S.A.","Telmex Colombia S.A.","CO","5-10Tbps","Mostly Inbound","CO",1999-10-15
"133762","NJ-AS-AP","NETWORK JOINT (HK) LIMITED","HK","","","HK",2018-02-01
"17469","ACCESSTEL-AS-AP","Access Telecom (BD) Ltd.","BD","1-5Gbps","Mostly Inbound","BD",2000-11-17
"4766","KIXS-AS-KR","Korea Telecom","KR","10-20Tbps","Mostly Inbound","KR",1996-04-22
"262758","Unisites ServiiÂ¿Â½os de InformiÂ¿Â½tica EIRELI","Unisites ServiiÂ¿Â½os de InformiÂ¿Â½tica EIRELI","BR","","","BR",2010-07-28
"264744","WIFITELECOM","WIFITELECOM","EC","10-20Gbps","Mostly Inbound","EC",2016-08-01
"24000","LIHGL-AS-AP","24.hk global BGP","HK","","","HK",2018-07-11
"132199","GLOBE-MOBILE-5TH-GEN-AS","Globe Telecom Inc.","PH","","","PH",2012-03-12
"52597","W B JUNIOR TELECOMUNICAiÂ¿Â½iÂ¿Â½ES EIRELI","W B JUNIOR TELECOMUNICAiÂ¿Â½iÂ¿Â½ES EIRELI","BR","","","",NA
"42109","ADC-AS","MTS Armenia CJSC","AM","","","AM",2006-12-19
"8870","OVDC-AS","Overseas Technologies LLC","UA","","Not Disclosed","UA",2007-08-22
"262911","BAU E DORL LTDA","BAU E DORL LTDA","BR","1-5Gbps","Balanced","BR",2011-02-17
"43260","AS43260","DGN TEKNOLOJI A.S.","TR","","Balanced","TR",2007-07-04
"47524","TURKSAT-AS","Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.","TR","1-5Tbps","Heavy Inbound","TR",2008-07-02
"28303","","","","","","",NA
"20661","TurkmenTelecom-AS","State Company of Electro Communications Turkmentelecom","TM","","","TM",2001-05-01
"17974","TELKOMNET-AS2-AP","PT Telekomunikasi Indonesia","ID","","","ID",2001-10-08
"11664","Techtel LMDS Comunicaciones Interactivas S.A.","Techtel LMDS Comunicaciones Interactivas S.A.","AR","1-5Tbps","Heavy Inbound","AR",1998-11-09
"135661","SCPL-AS-AP","Superior Connections private limited","PK","","Not Disclosed","PK",2016-11-01
"262751","LINK POINT SERVIiÂ¿Â½OS LTDA-ME","LINK POINT SERVIiÂ¿Â½OS LTDA-ME","BR","","","BR",2010-07-06
"63747","CPT-AS-VN","Central Post and Telecommunication (CPT)","VN","1-5Gbps","Not Disclosed","",NA
"9988","MPT-AP","Myanma Posts and Telecommunications","MM","","","MM",2000-04-26
"57497","FarasoSamanehPasargad","Faraso Samaneh Pasargad Ltd.","IR","","Not Disclosed","IR",2011-11-14
"38731","VTDC-AS-VN","Vietel - CHT Compamy Ltd","VN","","","",NA
"45528","TIKONAIN-AS","Tikona Infinet Ltd.","IN","","Mostly Inbound","IN",2008-11-21
"6147","Telefonica del Peru S.A.A.","Telefonica del Peru S.A.A.","PE","5-10Tbps","Heavy Inbound","PE",1995-12-08
"28840","TATTELECOM-AS","PJSC ""TATTELECOM""","RU","","","RU",2003-03-12
"26496","AS-26496-GO-DADDY-COM-LLC","GoDaddy.com, LLC","US","50-100Gbps","Mostly Outbound","US",2002-10-01
"134768","CHINANET-SHAANXI-CLOUD-BASE","CHINANET SHAANXI province Cloud Base network","CN","","","",NA
"28891","CITTEL","CJSC City Telecom","RU","1-5Gbps","Mostly Inbound","RU",2003-03-27
"61828","NETWISE INFORMATICA LTDA","NETWISE INFORMATICA LTDA","BR","5-10Gbps","Balanced","BR",2014-07-01
"24955","UBN-AS","JSC ""Ufanet""","RU","","Balanced","RU",2002-06-06
